Nom,URL,Blog,Email,Description,# dépôts,# followers,Créé,Mis à jour
"afimb","https://github.com/afimb","http://www.developpement-durable.gouv.fr/lagence-francaise-linformation-multimodale-et-billettique-afimb",,,23,0,"2013-07-16T14:31:55Z","2017-03-14T10:50:27Z"
"AlsaceDigitale","https://github.com/AlsaceDigitale","http://www.alsacedigitale.org",,"Constuire l'écosystème numérique en Alsace",35,0,"2013-04-19T19:28:10Z","2015-04-24T20:22:06Z"
"ANSSI-FR","https://github.com/ANSSI-FR","https://www.ssi.gouv.fr",,,37,0,"2012-07-04T09:13:48Z","2018-10-05T12:05:03Z"
"ApieFrance","https://github.com/ApieFrance","",,,2,0,"2014-11-07T15:37:28Z","2015-01-16T15:31:53Z"
"betagouv","https://github.com/betagouv","https://beta.gouv.fr",,"Incubateur de Services Numériques de la Direction Interministérielle du Numérique et du Système d'Information et de Communication de l'État",149,0,"2014-06-12T19:55:44Z","2018-03-09T04:14:50Z"
"communaute-cimi","https://github.com/communaute-cimi","http://www.interieur.gouv.fr/","cimi@interieur.gouv.fr","The Information Technology Community of the (French) Interior Ministry",20,0,"2014-01-30T22:05:58Z","2015-03-14T13:38:56Z"
"culturecommunication","https://github.com/culturecommunication","http://www.culturecommunication.gouv.fr/",,,2,0,"2013-01-25T16:13:55Z","2016-02-27T06:00:18Z"
"DGFiP","https://github.com/DGFiP","http://www.economie.gouv.fr/dgfip",,,1,0,"2014-09-15T13:24:47Z","2015-03-17T07:11:05Z"
"diplomatiegouvfr","https://github.com/diplomatiegouvfr","http://www.diplomatie.gouv.fr",,,19,0,"2015-06-09T09:51:13Z","2015-11-25T14:25:15Z"
"DISIC","https://github.com/DISIC","http://modernisation.gouv.fr","disic-sec.sgmap@modernisation.gouv.fr","Direction Interministérielle des Systèmes d'Information et de Communication",47,0,"2015-05-28T14:03:10Z","2017-12-19T08:23:26Z"
"entrepreneur-interet-general","https://github.com/entrepreneur-interet-general","entrepreneur-interet-general.etalab.gouv.fr","entrepreneur-interet-general@data.gouv.fr","Code développé dans le cadre des défis EIG",62,0,"2017-01-12T16:54:14Z","2018-08-03T12:28:01Z"
"erasme","https://github.com/erasme","http://www.erasme.org",,"Service usages numériques de la Métropole de Lyon",48,0,"2010-02-16T16:27:05Z","2017-04-13T16:20:37Z"
"etalab","https://github.com/etalab","http://www.etalab.gouv.fr","contact@etalab.gouv.fr","Service du Premier ministre en charge de l'ouverture des données publiques et du gouvernement ouvert",165,0,"2013-08-26T16:03:40Z","2018-10-16T15:06:32Z"
"Inist-CNRS","https://github.com/Inist-CNRS","http://www.inist.fr",,"Open source developments at Institute for scientific and technical information",79,0,"2015-03-19T09:02:18Z","2016-03-03T20:39:37Z"
"lutece-secteur-public","https://github.com/lutece-secteur-public","http://fr.lutece.paris.fr",,"Applications Métiers LUTECE destinées au Secteur Public. Ne contient pas les modules standards Lutece (moteur de formulaire, ...) hébergés sur lutece-platform",111,0,"2015-09-17T08:20:05Z","2017-05-14T20:56:03Z"
"minagri-initial","https://github.com/minagri-initial","","celia.carceller-kemiche@agriculture.gouv.fr","Incubateur de services numériques du ministère de l'agriculture et de l'alimentation",7,0,"2016-03-18T08:50:13Z","2018-04-24T13:42:23Z"
"MinistereSupRecherche","https://github.com/MinistereSupRecherche","esr.gouv.fr","github@recherche.gouv.fr",,6,0,"2018-05-15T15:48:47Z","2018-05-17T08:49:05Z"
"MTES-MCT","https://github.com/MTES-MCT","",,,28,0,"2016-06-28T18:58:13Z","2018-01-09T13:31:25Z"
"nanterre","https://github.com/nanterre","www.nanterre.fr","agora@mairie-nanterre.fr","Applications citoyennes open source au service de la ville participative",7,0,"2015-06-19T12:15:20Z","2016-02-13T13:29:12Z"
"nantesmetropole","https://github.com/nantesmetropole","http://www.nantesmetropole.fr/",,,3,0,"2016-06-23T14:05:25Z","2017-03-14T14:45:56Z"
"polewebmaedi","https://github.com/polewebmaedi","http://www.diplomatie.gouv.fr/","quentin.drouet@diplomatie.gouv.fr",,4,0,"2015-02-08T11:49:13Z","2017-11-27T11:18:11Z"
"ProgrammeVitam","https://github.com/ProgrammeVitam","www.programmevitam.fr","contact@programmevitam.fr","French government IT program for digital archives",5,0,"2016-10-21T03:17:08Z","2018-08-24T13:44:16Z"
"region-bretagne","https://github.com/region-bretagne","",,,6,0,"2014-05-26T14:48:16Z","2014-11-04T09:51:43Z"
"SGMAP-AGD","https://github.com/SGMAP-AGD","",,,23,0,"2015-01-20T09:06:59Z","2015-03-30T07:49:36Z"
"SocialGouv","https://github.com/SocialGouv","http://solidarites-sante.gouv.fr/","incubateur@sg.social.gouv.fr","Incubateur numérique du Ministère des Affaires Sociales",26,0,"2018-01-15T13:33:35Z","2018-10-09T16:03:20Z"
"SocieteNumerique","https://github.com/SocieteNumerique","https://www.societenumerique.gouv.fr","societe.numerique@finances.gouv.fr","Mission Société Numérique - Agence du Numérique - République Française",8,0,"2017-08-23T09:30:29Z","2018-05-14T16:09:54Z"
"strasbourg","https://github.com/strasbourg","http://strasbourg-data.fr/",,,7,0,"2013-02-22T20:56:42Z","2014-04-22T23:33:05Z"
